year,month,region,county,market,category,commodity,unit,pricetype,price,avg_rainfall_mm,normalized_price,log_normalized_price
2014,7,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,45.0,282.76,112.5,4.7318028369214575
2014,7,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,28.39,282.76,28.39,3.380654480430826
2014,7,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,3384.29,282.76,37.6,3.653252276470785
2014,7,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,Retail,43.0,282.76,86.0,4.465908118654584
2014,7,Nairobi,Nairobi,Nairobi,non-food,Fuel (diesel),L,Retail,104.67,282.76,104.67,4.660321030452939
2014,7,Nairobi,Nairobi,Nairobi,non-food,Fuel (petrol-gasoline),L,Retail,115.86,282.76,115.86,4.760976637126291
2014,7,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,190.0,282.76,190.0,5.25227342804663
2014,7,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,48.81,282.76,48.81,3.908215767085192
2014,7,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,4734.29,282.76,52.6,3.9815490680767565
2014,7,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,59.0,282.76,59.0,4.0943445622221
2014,7,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,40.01,282.76,40.01,3.713815939403968
2014,7,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,3657.14,282.76,40.63,3.728821061206884
2014,7,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,3600.0,282.76,40.0,3.713572066704308
2014,7,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,90.09,282.76,90.09,4.511848028756718
2014,7,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,7188.57,282.76,79.87,4.392842927107731
2014,7,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,Wholesale,32.07,282.76,32.07,3.4986265269937014
2014,7,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,77.1,282.76,77.1,4.35799005684564
2014,7,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,36.39,282.76,36.39,3.6214032889890224
2014,7,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1209.52,282.76,24.19,3.226447090364519
2014,7,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,6042.86,282.76,67.14,4.22156441223282
2014,7,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,69.71,282.76,69.71,4.25858700561615
2014,7,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,7200.0,282.76,80.0,4.394449154672439
2014,8,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,35.75,262.84,35.75,3.6041382256588457
2014,8,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,2840.0,262.84,31.56,3.4830845411343394
2014,8,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,36.0,262.84,36.0,3.6109179126442243
2014,8,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,Wholesale,3600.0,262.84,40.0,3.713572066704308
2014,8,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,75.0,262.84,75.0,4.330733340286331
2014,8,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,53.6,262.84,53.6,4.000033882750859
2014,8,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,44.0,262.84,110.0,4.709530201312334
2014,8,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,25.94,262.84,25.94,3.293612170982218
2014,8,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,2962.5,262.84,32.92,3.5240048109237025
2014,8,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1545.13,262.84,30.9,3.462606009790799
2014,8,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,3960.0,262.84,44.0,3.8066624897703196
2014,8,Nairobi,Nairobi,Nairobi,non-food,Fuel (kerosene),L,Retail,83.05,262.84,83.05,4.431411859854625
2014,8,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,52.14,262.84,52.14,3.9729299403316674
2014,8,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,5356.25,262.84,59.51,4.10280864063423
2014,8,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,61.0,262.84,61.0,4.127134385045092
2014,8,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,40.04,262.84,40.04,3.714547200862514
2014,8,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,3306.25,262.84,36.74,3.630720539940404
2014,8,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1756.93,262.84,35.14,3.5874002851640823
2014,8,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,3312.5,262.84,36.81,3.6325736179028416
2014,8,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,6858.33,262.84,76.2,4.3463994570307305
2014,8,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,80.78,262.84,80.78,4.404032714936497
2014,8,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,30.25,262.84,30.25,3.4420193761824107
2014,8,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1240.96,262.84,24.82,3.2511493854184965
2014,8,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,5782.5,262.84,64.25,4.178226046202803
