date,region,county,market_name,lat,lon,food_category,food_item,measurement_unit,local_price,normalized_unit
2006-08-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Maize (white),90 KG,1529.5,90.0
2006-08-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Potatoes (Irish),50 KG,468.51,50.0
2006-08-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Sorghum,90 KG,925.0,90.0
2006-08-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,pulses and nuts,Beans,KG,29.39,1.0
2006-08-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,pulses and nuts,Beans (dry),90 KG,1975.0,90.0
2006-09-15,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,KG,11.77,1.0
2006-09-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,KG,32.57,1.0
2006-09-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans (dry),90 KG,3043.75,90.0
2006-09-15,Eastern,Kitui,Kitui,-1.366667,38.016667,cereals and tubers,Maize (white),KG,19.0,1.0
2006-09-15,Eastern,Kitui,Kitui,-1.366667,38.016667,pulses and nuts,Beans (dry),KG,42.0,1.0
2006-09-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Bread,400 G,26.0,0.4
2006-09-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,KG,14.8,1.0
2006-09-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize (white),90 KG,1278.0,90.0
2006-09-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Potatoes (Irish),50 KG,582.22,50.0
2006-09-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Sorghum,90 KG,1905.0,90.0
2006-09-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,oil and fats,Oil (vegetable),L,120.0,1.0
2006-09-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans,KG,34.75,1.0
2006-09-15,North Eastern,Mandera,Mandera,3.936804,41.858383,cereals and tubers,Maize (white),KG,22.0,1.0
2006-09-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,13.6,1.0
2006-09-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1242.0,90.0
2006-09-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,30.74,1.0
2006-09-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans (dry),90 KG,2811.0,90.0
2006-09-15,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,cereals and tubers,Maize (white),KG,29.0,1.0
2006-09-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Maize (white),90 KG,1124.38,90.0
2006-09-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Sorghum,90 KG,967.5,90.0
2006-09-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,pulses and nuts,Beans,KG,36.49,1.0
2006-10-15,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,KG,12.49,1.0
2006-10-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,KG,32.63,1.0
2006-10-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans (dry),90 KG,3023.75,90.0
2006-10-15,Eastern,Kitui,Kitui,-1.366667,38.016667,cereals and tubers,Maize (white),KG,19.0,1.0
2006-10-15,Eastern,Kitui,Kitui,-1.366667,38.016667,pulses and nuts,Beans (dry),KG,44.0,1.0
2006-10-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,KG,14.34,1.0
2006-10-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize (white),90 KG,1293.25,90.0
2006-10-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Sorghum,90 KG,2133.33,90.0
2006-10-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,oil and fats,Oil (vegetable),L,120.0,1.0
2006-10-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans,KG,35.8,1.0
2006-10-15,North Eastern,Mandera,Mandera,3.936804,41.858383,cereals and tubers,Maize (white),KG,23.0,1.0
2006-10-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1282.0,90.0
2006-10-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,30.94,1.0
2006-10-15,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,cereals and tubers,Maize (white),KG,30.0,1.0
