year,month,commodity,category,normalized_price
2020,6,Beans (dry),pulses and nuts,107.3
2019,12,Beans (dry),pulses and nuts,107.33
2020,6,Beans (dry),pulses and nuts,95.0
2020,6,Beans (dry),pulses and nuts,131.9
2016,4,Beans (dry),pulses and nuts,92.5
2020,7,Beans (dry),pulses and nuts,106.6
2016,5,Beans (dry),pulses and nuts,68.31
2019,6,Beans (dry),pulses and nuts,103.56
2020,7,Beans (dry),pulses and nuts,98.0
2020,8,Beans (dry),pulses and nuts,106.4
2016,5,Beans (dry),pulses and nuts,72.0
2020,8,Beans (dry),pulses and nuts,92.0
2019,12,Beans (dry),pulses and nuts,89.3
2019,12,Beans (dry),pulses and nuts,105.9
2016,5,Beans (dry),pulses and nuts,66.0
2019,11,Beans (dry),pulses and nuts,88.5
2020,7,Beans (dry),pulses and nuts,100.0
2016,12,Beans (dry),pulses and nuts,94.0
2019,6,Beans (dry),pulses and nuts,69.92
2018,4,Beans (dry),pulses and nuts,90.0
2018,5,Beans (dry),pulses and nuts,79.67
2018,1,Beans (dry),pulses and nuts,79.1
2018,10,Beans (dry),pulses and nuts,75.0
2018,10,Beans (dry),pulses and nuts,103.0
2017,8,Beans (dry),pulses and nuts,120.0
2017,8,Beans (dry),pulses and nuts,130.0
2018,1,Beans (dry),pulses and nuts,64.28
2018,10,Beans (dry),pulses and nuts,67.64
2017,8,Beans (dry),pulses and nuts,61.11
2018,10,Beans (dry),pulses and nuts,58.26
2018,1,Beans (dry),pulses and nuts,112.6
2017,8,Beans (dry),pulses and nuts,109.6
2017,9,Beans (dry),pulses and nuts,112.8
2018,10,Beans (dry),pulses and nuts,70.5
2017,9,Beans (dry),pulses and nuts,77.33
2017,8,Beans (dry),pulses and nuts,76.09
2017,12,Beans (dry),pulses and nuts,93.13
2018,10,Beans (dry),pulses and nuts,78.75
2018,5,Beans (dry),pulses and nuts,105.0
2018,5,Beans (dry),pulses and nuts,80.0
2018,12,Beans (dry),pulses and nuts,53.7
2017,6,Beans (dry),pulses and nuts,102.0
2017,7,Beans (dry),pulses and nuts,125.3
2018,1,Beans (dry),pulses and nuts,78.4
2017,7,Beans (dry),pulses and nuts,70.89
2018,11,Beans (dry),pulses and nuts,60.0
2017,7,Beans (dry),pulses and nuts,84.83
2018,11,Beans (dry),pulses and nuts,78.0
2018,11,Beans (dry),pulses and nuts,105.0
2017,7,Beans (dry),pulses and nuts,80.0
2018,11,Beans (dry),pulses and nuts,80.0
2018,5,Beans (dry),pulses and nuts,89.33
2018,11,Beans (dry),pulses and nuts,65.83
2017,7,Beans (dry),pulses and nuts,62.11
2018,11,Beans (dry),pulses and nuts,71.0
2018,12,Beans (dry),pulses and nuts,66.1
2017,9,Beans (dry),pulses and nuts,80.0
2018,6,Beans (dry),pulses and nuts,100.8
2017,10,Beans (dry),pulses and nuts,61.11
2017,11,Beans (dry),pulses and nuts,115.5
2018,8,Beans (dry),pulses and nuts,90.2
2018,7,Beans (dry),pulses and nuts,81.25
2017,11,Beans (dry),pulses and nuts,73.39
2018,7,Beans (dry),pulses and nuts,63.28
2018,6,Beans (dry),pulses and nuts,50.74
2017,11,Beans (dry),pulses and nuts,83.0
2017,12,Beans (dry),pulses and nuts,84.89
2018,7,Beans (dry),pulses and nuts,73.4
2018,7,Beans (dry),pulses and nuts,49.17
2018,7,Beans (dry),pulses and nuts,92.6
2017,12,Beans (dry),pulses and nuts,114.3
2018,6,Beans (dry),pulses and nuts,71.44
2018,6,Beans (dry),pulses and nuts,80.0
2018,8,Beans (dry),pulses and nuts,52.91
2018,9,Beans (dry),pulses and nuts,60.0
2017,12,Beans (dry),pulses and nuts,61.11
2017,10,Beans (dry),pulses and nuts,108.0
2018,9,Beans (dry),pulses and nuts,71.0
2017,9,Beans (dry),pulses and nuts,83.56
2017,9,Beans (dry),pulses and nuts,61.11
2018,9,Beans (dry),pulses and nuts,65.83
2018,9,Beans (dry),pulses and nuts,76.9
2017,9,Beans (dry),pulses and nuts,98.0
2018,8,Beans (dry),pulses and nuts,59.11
2017,10,Beans (dry),pulses and nuts,107.6
2018,8,Beans (dry),pulses and nuts,72.0
2017,10,Beans (dry),pulses and nuts,76.47
2017,10,Beans (dry),pulses and nuts,89.0
2018,8,Beans (dry),pulses and nuts,100.0
2017,10,Beans (dry),pulses and nuts,84.69
2018,8,Beans (dry),pulses and nuts,73.91
2017,10,Beans (dry),pulses and nuts,88.89
2017,10,Beans (dry),pulses and nuts,139.0
2018,6,Beans (dry),pulses and nuts,74.0
2018,1,Beans (dry),pulses and nuts,84.44
2018,12,Beans (dry),pulses and nuts,65.19
2017,2,Beans (dry),pulses and nuts,77.46
2018,3,Beans (dry),pulses and nuts,96.67
2017,2,Beans (dry),pulses and nuts,94.11
2017,2,Beans (dry),pulses and nuts,112.0
2017,2,Beans (dry),pulses and nuts,97.0
2019,4,Beans (dry),pulses and nuts,77.0
2019,4,Beans (dry),pulses and nuts,63.76
2019,3,Beans (dry),pulses and nuts,90.0
2017,3,Beans (dry),pulses and nuts,120.0
2019,3,Beans (dry),pulses and nuts,111.0
2019,3,Beans (dry),pulses and nuts,88.89
2017,3,Beans (dry),pulses and nuts,85.33
